trial_id,timestamp,batch,distance,cycles,duration,outcome,max_pitch,max_roll,notes
1,2026-08-31T10:02:14,1,196.0,78,54.31,completed,3.2,6.8,
2,2026-08-31T10:05:47,1,188.5,77,53.90,drifted,3.5,7.4,veered right about 15cm
3,2026-08-31T10:09:02,1,201.0,79,55.02,completed,2.9,6.1,
4,2026-08-31T10:12:38,1,142.0,58,40.66,leg_slipped,4.1,11.3,front left slipped at ~90cm
5,2026-08-31T10:16:11,1,193.5,78,54.55,completed,3.4,7.0,
6,2026-08-31T10:19:44,1,178.0,76,53.12,drifted,3.1,7.9,veered right again
7,2026-08-31T10:23:20,1,199.0,79,54.88,completed,3.0,6.4,
8,2026-08-31T10:26:55,1,118.0,49,34.20,leg_slipped,4.6,12.1,rear right, floor dustier here
9,2026-08-31T10:30:31,1,204.5,80,55.60,completed,2.8,6.6,
10,2026-08-31T10:34:08,1,191.0,78,54.02,completed,3.3,7.2,
